onset	duration	trial_type	stim_file	stim_file_index	note
216.012	0.3	4	task-sfprescaled_stimuli.npy	39	n/a
216.512	0.3	4	task-sfprescaled_stimuli.npy	36	n/a
217.012	0.3	4	task-sfprescaled_stimuli.npy	37	n/a
217.512	0.3	4	task-sfprescaled_stimuli.npy	32	n/a
218.014	0.3	4	task-sfprescaled_stimuli.npy	33	n/a
218.514	0.3	4	task-sfprescaled_stimuli.npy	35	n/a
219.014	0.3	4	task-sfprescaled_stimuli.npy	34	n/a
219.514	0.3	4	task-sfprescaled_stimuli.npy	38	n/a
220.014	0.3	16	task-sfprescaled_stimuli.npy	134	n/a
220.513	0.3	16	task-sfprescaled_stimuli.npy	132	n/a
221.014	0.3	16	task-sfprescaled_stimuli.npy	133	n/a
221.514	0.3	16	task-sfprescaled_stimuli.npy	129	n/a
222.014	0.3	16	task-sfprescaled_stimuli.npy	130	n/a
222.514	0.3	16	task-sfprescaled_stimuli.npy	128	n/a
223.015	0.3	16	task-sfprescaled_stimuli.npy	135	n/a
223.516	0.3	16	task-sfprescaled_stimuli.npy	131	n/a
224.016	0.3	24	task-sfprescaled_stimuli.npy	193	n/a
224.516	0.3	24	task-sfprescaled_stimuli.npy	199	n/a
225.016	0.3	24	task-sfprescaled_stimuli.npy	197	n/a
225.516	0.3	24	task-sfprescaled_stimuli.npy	198	n/a
226.016	0.3	24	task-sfprescaled_stimuli.npy	194	n/a
226.515	0.3	24	task-sfprescaled_stimuli.npy	192	n/a
227.016	0.3	24	task-sfprescaled_stimuli.npy	196	n/a
227.515	0.3	24	task-sfprescaled_stimuli.npy	195	n/a
228.016	0.3	23	task-sfprescaled_stimuli.npy	186	n/a
228.516	0.3	23	task-sfprescaled_stimuli.npy	190	n/a
229.016	0.3	23	task-sfprescaled_stimuli.npy	189	n/a
229.516	0.3	23	task-sfprescaled_stimuli.npy	184	n/a
230.016	0.3	23	task-sfprescaled_stimuli.npy	187	n/a
230.516	0.3	23	task-sfprescaled_stimuli.npy	191	n/a
231.016	0.3	23	task-sfprescaled_stimuli.npy	188	n/a
