onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
1569.0045	10	speech	1	15690045	3	-3 dB	1	2	n/a	speech/alice/alice_389_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_068_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_311_peaky_diotic_regress.hdf5	n/a
1579.0741	10	speech	1	15790741	1	clean	1	2	n/a	n/a	speech/peterpan/peterpan_333_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1589.1436	10	speech	1	15891436	5	-6 dB	1	2	n/a	speech/alice/alice_036_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_392_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_153_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_187_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_333_peaky_diotic_regress.hdf5
1599.2132	10	speech	1	15992132	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_018_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_365_peaky_diotic_regress.hdf5	n/a
1609.3042	10	speech	1	16093042	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_090_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_022_peaky_diotic_regress.hdf5
1619.3737	10	speech	1	16193737	5	-6 dB	1	2	n/a	speech/alice/alice_203_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_219_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_030_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_065_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_371_peaky_diotic_regress.hdf5
1629.4647	10	speech	1	16294647	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_334_peaky_diotic_regress.hdf5	n/a
1639.5343	10	speech	1	16395343	3	-3 dB	1	2	n/a	speech/alice/alice_138_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_213_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_299_peaky_diotic_regress.hdf5
1649.6252	10	speech	1	16496252	2	0 dB	1	2	n/a	speech/alice/alice_201_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_113_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1659.6948	10	speech	1	16596948	5	-6 dB	1	2	n/a	speech/alice/alice_323_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_047_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_298_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_015_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_290_peaky_diotic_regress.hdf5
