onset	duration	value	event	stim_file
109370	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
109496	0	20	cross/white	n/a
110014	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
110104	0	20	cross/white	n/a
110586	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
110683	0	20	cross/white	n/a
111194	0	33	red/happy/standard/3	SHINEd_008_y_m_h_b.jpg
111315	0	20	cross/white	n/a
111375	0	111	button_press	n/a
111851	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
111965	0	20	cross/white	n/a
112483	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
112585	0	20	cross/white	n/a
113085	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
113182	0	20	cross/white	n/a
113699	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
113826	0	20	cross/white	n/a
114356	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
114464	0	20	cross/white	n/a
114964	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
115060	0	20	cross/white	n/a
115542	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
115626	0	20	cross/white	n/a
116096	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
116186	0	20	cross/white	n/a
116680	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
116771	0	20	cross/white	n/a
117264	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
117373	0	20	cross/white	n/a
117879	0	28	white/angry/standard/8	SHINEd_028_y_f_a_b.jpg
117981	0	20	cross/white	n/a
118511	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
118637	0	20	cross/white	n/a
119191	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
119318	0	20	cross/white	n/a
119848	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
119950	0	20	cross/white	n/a
120450	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
120546	0	20	cross/white	n/a
121052	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
121154	0	20	cross/white	n/a
121678	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
121799	0	20	cross/white	n/a
122311	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
122395	0	20	cross/white	n/a
122907	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
123033	0	20	cross/white	n/a
123563	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
123666	0	20	cross/white	n/a
124183	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
124298	0	20	cross/white	n/a
124840	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
124966	0	20	cross/white	n/a
125478	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
125568	0	20	cross/white	n/a
126080	0	66	white/neutral/standard/6	SHINEd_008_y_m_n_b.jpg
126201	0	20	cross/white	n/a
126707	0	67	white/neutral/standard/7	SHINEd_016_y_m_n_b.jpg
126791	0	20	cross/white	n/a
127303	0	68	white/neutral/standard/8	SHINEd_008_y_m_n_b.jpg
127429	0	20	cross/white	n/a
127989	0	31	red/happy/deviant/1	SHINEd_010_y_f_h_a.jpg
128122	0	20	cross/white	n/a
128170	0	111	button_press	n/a
128676	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
128802	0	20	cross/white	n/a
129338	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
129447	0	20	cross/white	n/a
129970	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
130079	0	20	cross/white	n/a
130573	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
130663	0	20	cross/white	n/a
131133	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
