onset	duration	sample	trial_type	response_time	stim_file	value
249.9780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
251.7620000000	n/a	n/a	Standard Tone	n/a	n/a	S201
253.8580000000	n/a	n/a	Novel Tone	n/a	n/a	S202
255.9280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
258.0880000000	n/a	n/a	Standard Tone	n/a	n/a	S201
260.1260000000	n/a	n/a	Novel Tone	n/a	n/a	S202
262.3880000000	n/a	n/a	Standard Tone	n/a	n/a	S201
264.6300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
266.7800000000	n/a	n/a	Standard Tone	n/a	n/a	S201
268.6960000000	n/a	n/a	Target Tone	n/a	n/a	S200
270.9600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
273.0800000000	n/a	n/a	Standard Tone	n/a	n/a	S201
274.9400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
277.0280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
279.2300000000	n/a	n/a	Standard Tone	n/a	n/a	S201
281.1860000000	n/a	n/a	Target Tone	n/a	n/a	S200
283.3320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
285.2260000000	n/a	n/a	Standard Tone	n/a	n/a	S201
287.4680000000	n/a	n/a	Novel Tone	n/a	n/a	S202
289.6120000000	n/a	n/a	Standard Tone	n/a	n/a	S201
291.7840000000	n/a	n/a	Target Tone	n/a	n/a	S200
294.0280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
295.8560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
298.0640000000	n/a	n/a	Standard Tone	n/a	n/a	S201
300.1420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
302.0200000000	n/a	n/a	Target Tone	n/a	n/a	S200
304.1380000000	n/a	n/a	Standard Tone	n/a	n/a	S201
305.9360000000	n/a	n/a	Standard Tone	n/a	n/a	S201
307.7960000000	n/a	n/a	Novel Tone	n/a	n/a	S202
309.8900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
312.0780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
314.1920000000	n/a	n/a	Target Tone	n/a	n/a	S200
316.0800000000	n/a	n/a	Standard Tone	n/a	n/a	S201
318.3040000000	n/a	n/a	Standard Tone	n/a	n/a	S201
320.0860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
321.9380000000	n/a	n/a	Novel Tone	n/a	n/a	S202
323.9680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
325.9520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
328.0820000000	n/a	n/a	Novel Tone	n/a	n/a	S202
330.2680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
332.5460000000	n/a	n/a	Standard Tone	n/a	n/a	S201
334.5000000000	n/a	n/a	Target Tone	n/a	n/a	S200
336.4820000000	n/a	n/a	Standard Tone	n/a	n/a	S201
338.4800000000	n/a	n/a	Novel Tone	n/a	n/a	S202
340.4060000000	n/a	n/a	Standard Tone	n/a	n/a	S201
342.2600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
344.1680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
346.1960000000	n/a	n/a	Target Tone	n/a	n/a	S200
348.1200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
350.3680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
352.2160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
354.4560000000	n/a	n/a	Standard Tone	n/a	n/a	S201
356.7280000000	n/a	n/a	Target Tone	n/a	n/a	S200
358.9060000000	n/a	n/a	Standard Tone	n/a	n/a	S201
360.9580000000	n/a	n/a	Standard Tone	n/a	n/a	S201
362.9000000000	n/a	n/a	Standard Tone	n/a	n/a	S201
365.1020000000	n/a	n/a	Novel Tone	n/a	n/a	S202
367.0660000000	n/a	n/a	Standard Tone	n/a	n/a	S201
369.1960000000	n/a	n/a	Standard Tone	n/a	n/a	S201
371.2200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
373.0200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
375.1400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
377.1880000000	n/a	n/a	Target Tone	n/a	n/a	S200
378.9900000000	n/a	n/a	Standard Tone	n/a	n/a	S201
380.9440000000	n/a	n/a	Standard Tone	n/a	n/a	S201
383.1740000000	n/a	n/a	Novel Tone	n/a	n/a	S202
385.0500000000	n/a	n/a	Standard Tone	n/a	n/a	S201
387.0480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
388.8580000000	n/a	n/a	Target Tone	n/a	n/a	S200
390.8340000000	n/a	n/a	Standard Tone	n/a	n/a	S201
392.8420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
394.9160000000	n/a	n/a	Target Tone	n/a	n/a	S200
396.7100000000	n/a	n/a	Standard Tone	n/a	n/a	S201
398.8020000000	n/a	n/a	Standard Tone	n/a	n/a	S201
400.6060000000	n/a	n/a	Novel Tone	n/a	n/a	S202
402.9200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
404.8580000000	n/a	n/a	Target Tone	n/a	n/a	S200
407.0700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
408.9000000000	n/a	n/a	Standard Tone	n/a	n/a	S201
410.7920000000	n/a	n/a	Novel Tone	n/a	n/a	S202
412.7940000000	n/a	n/a	Standard Tone	n/a	n/a	S201
414.6160000000	n/a	n/a	Novel Tone	n/a	n/a	S202
416.6480000000	n/a	n/a	Standard Tone	n/a	n/a	S201
418.6720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
420.7800000000	n/a	n/a	Standard Tone	n/a	n/a	S201
422.6740000000	n/a	n/a	Target Tone	n/a	n/a	S200
