onset	duration	 sample	trial_type	response_time	value
241.2230	0	276	TRIGGER	5.9351	45
242.0225	1.3504	276	DOT_FLIP	N/A	1
242.0892	0	277	TRIGGER	0.7404	46
242.5226	0.1333	277	KEYPRESS	0.5146	1
242.9726	0	278	TRIGGER	1.8505	46
243.8392	0	279	TRIGGER	2.9395	46
244.7059	0	280	TRIGGER	4.0286	46
244.8554	2.8419	280	DOT_FLIP	N/A	0
245.2892	0.1545	280	KEYPRESS	0.4393	1
245.5890	0	281	TRIGGER	5.1384	46
246.4558	0	282	TRIGGER	6.2277	46
247.3383	0	283	TRIGGER	1.0534	47
247.6386	2.7747	283	DOT_FLIP	N/A	1
247.9386	0.1500	283	KEYPRESS	0.3140	1
248.2067	0	284	TRIGGER	2.1447	47
249.0886	0	285	TRIGGER	3.2529	47
249.9553	0	286	TRIGGER	4.3421	47
250.5553	2.9235	286	DOT_FLIP	N/A	0
