onset	duration	object	trial_type	map	stayswitch	distance	value	counterfactual_value	value_diff	choicetype	object1	object2	chosen_distance	unchosen_distance	chosen_value	unchosen_value	counterfactual_chosen_value	counterfactual_unchosen_value	button	response_time	cr
1029.99191777551	2.01618524892547	5	object_onset	1	stay	0.853814968245462	71	3	68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1035.60716555423	2.01615292899078	11	object_onset	2	switch	1.20747670784989	100	3	97	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1040.42261838856	7.06501331517939	11	choice	2	n/a	NaN	NaN	NaN	NaN	v	2	8	0.853814968245462	0.853814968245462	83.8378807534661	83.8378807534661	1.88362051778864	40.5840886391862	1047.48019683802	7.05757844945765	1
1050.98663554566	2.01614204900397	7	object_onset	2	stay	1.26	2	90	-88	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1055.90199538817	6.51539389044046	7	choice	2	n/a	NaN	NaN	NaN	NaN	v	8	3	1.08747413762351	0.524785670536077	48.3436681716825	14.272887645719	79.370433738819	46.7766790247836	1062.3967729982	6.49477761003072	-1
1065.59962028872	2.0161394890165	5	object_onset	1	switch	0.569209978830308	71	3	68	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1070.43173837106	9.88098646850267	5	choice	1	n/a	NaN	NaN	NaN	NaN	v	12	2	0.853814968245462	0.9	65.9816111558298	52.9909262905921	13.5499782611421	69.7128832525924	1080.29805926772	9.86632089666091	-1
1085.27799050625	2.01617820894171	6	object_onset	2	switch	0.36	13	44	-31	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1091.22649012513	2.01615868897352	12	object_onset	1	switch	0.648999229583518	18	72	-54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1098.39133268864	2.01617244894442	4	object_onset	2	switch	1.08747413762351	2	14	-12	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1103.72334773117	5.5820283225039	4	choice	2	n/a	NaN	NaN	NaN	NaN	d	3	5	0.524785670536077	0.763675323681471	0.93905438200614	48.5598131691118	56.8490675010205	3.02583024744705	1109.28814440676	5.56479667559324	1
1112.13777349547	2.01626204876811	12	object_onset	1	switch	1.08747413762351	18	72	-54	n/a	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
